MsgLength,RSSI,SNR,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Heading,Pitch,Roll,Baro_AccZInertial,VerticalVelocity,Pressure,Altitude,Latitude,Longitude
MsgLength,RSSI,SNR,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Heading,Pitch,Roll,AccZInertial,VerticalVelocity,Pressure,Altitude,Latitude,Longitude
117,-46,12,01/01/0001 00:00:00,0,9.87,0.1,3.92,-4.09,1.82,-18.17,-35.06,9.4,48.97,-0.81,-2.46,8.7,0.04,999.85,112.1,0,0
119,-52,12,01/01/0001 00:00:00,0,9.68,-0.4,-40.63,-4.32,-3.03,-15.43,-35.93,6.95,47.23,1.42,0.02,8.52,0.04,999.89,111.74,0,0
117,-52,12,01/01/0001 00:00:00,0.32,7.9,-5.41,2.61,-3.31,3.24,-5.83,-30.59,56.31,45.2,32.1,1.89,6.77,0.03,999.9,111.66,0,0
118,-56,13,01/01/0001 00:00:00,0.14,8.05,-5.12,3.94,-3.18,1.61,-12.99,-32.08,38.91,41.6,39.81,1.1,6.91,0.03,999.89,111.74,0,0
119,-47,12,01/01/0001 00:00:00,0.34,8.15,-5.42,17.55,-0.75,1.45,-11.68,-30.09,34.96,39.55,37.77,1.64,7.01,0.04,999.93,111.73,0,0
119,-46,12,11/07/2024 13:30:10,0.01,9.63,-1.06,8.87,-3.8,1.26,-3.32,-35.14,19.95,34.85,14.03,-0.44,8.47,0.04,999.89,111.74,0,0
117,-44,12,11/07/2024 13:30:11,-0.01,9.78,-0.31,9.84,-3.99,3.27,-8.94,-35.85,7.32,33.16,2.58,1.21,8.61,0.04,999.88,111.82,0,0
117,-43,12,11/07/2024 13:30:12,0.11,9.6,-0.23,8.84,0.21,5.72,-17.28,-35.05,5.59,32.94,-0.48,1.36,8.44,0.04,999.89,111.74,0,0
122,-45,12,11/07/2024 13:30:13,-5.79,7.67,0.62,-4.44,1.54,54.84,-35.12,-18.11,14.35,40.02,-5.38,-11.15,6.55,0.03,999.97,111.12,0,0
121,-41,12,11/07/2024 13:30:14,-7.5,5.96,-0.28,2.24,-2.68,0.44,-32.83,-6.93,19.04,51.24,-0.15,-52.21,4.86,0.02,999.91,111.57,0,0
122,-42,12,11/07/2024 13:30:15,-1.41,9.64,0.26,2.24,-2.48,-4.06,-17.64,-34.15,28.05,57.49,-1.08,-34.64,8.48,0.04,999.85,112.11,0,0
122,-47,12,11/07/2024 13:30:16,-0.68,9.62,0.19,-13.16,-2.89,0.59,-20.6,-36.72,11.8,58.71,-2.49,-6.62,8.46,0.04,999.9,111.66,0,0
120,-45,12,11/07/2024 13:30:17,-0.83,7.93,-5.28,4.92,-2.96,1.31,-9.32,-26.88,49.84,57.69,26.73,-3.38,6.79,0.03,999.85,112.1,0,0
120,-43,12,11/07/2024 13:30:18,-0.27,9.75,0.01,9.24,-5.81,2.48,-10.18,-36.43,31.98,52.34,26.11,-3.31,8.58,0.04,999.89,111.74,0,0
122,-55,12,11/07/2024 13:30:19,0.04,8.36,5.75,55.33,-10.34,-1.1,-11.87,-32.66,-6.15,50,-6.27,-0.79,7.22,0.04,999.85,112.09,0,0
123,-42,12,11/07/2024 13:30:20,-0.52,7.62,6.65,-42.52,4.37,7.86,-19.3,-29.94,-19.91,55.68,-49.63,-1,6.5,0.03,999.85,112.1,0,0
122,-42,12,11/07/2024 13:30:21,-1.1,9.82,0.56,-0.59,-2.64,4.29,-10.37,-31.63,13.45,67.7,-15.56,-6.87,8.65,0.04,999.85,112.1,0,0
124,-48,12,11/07/2024 13:30:22,-3.04,6.84,-5.93,-10.24,-0.26,5.79,-15.37,-24.68,33.48,74.62,12.9,-10.5,5.73,0.03,999.83,112.29,0,0
125,-45,12,11/07/2024 13:30:23,-1.34,8.32,-3.75,78.19,-0.73,-21.67,-14.27,-33.08,51.62,69.94,45.8,-18.6,7.18,0.04,999.89,111.74,0,0
