MsgLength,RSSI,SNR,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Heading,Pitch,Roll,Baro_AccZInertial,VerticalVelocity,Pressure,Altitude,Latitude,Longitude
MsgLength,RSSI,SNR,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Heading,Pitch,Roll,AccZInertial,VerticalVelocity,Pressure,Altitude,Latitude,Longitude
0,-0.03,9.84,01/01/0001 00:00:00,2.8,-2.64,1.87,-3.82,-42.08,-12.92,176.13,0.06,-0.14,8.68,0.01,999.91,111.58,0,0,0,0,0
121,-35,12,01/01/0001 00:00:00,-0.04,9.8,0.12,2.61,-2.68,1.6,-0.42,-41.93,-13.47,176.48,-0.03,-0.15,8.64,0.01,999.89,111.74,0,0
120,-36,12,01/01/0001 00:00:00,0.04,9.82,0.21,2.38,-2.69,1.9,-1.55,-41.98,-15.3,176.87,-0.06,-0.11,8.65,0.01,999.89,111.77,0,0
121,-37,13,01/01/0001 00:00:00,-0.04,9.83,0.11,2.25,-2.9,1.75,-0.41,-42.25,-12.82,177.1,-0.03,-0.14,8.66,0.01,999.92,111.55,0,0
120,-35,12,01/01/0001 00:00:00,-0.02,9.82,0.1,2.14,-3.05,1.5,2.42,-42.82,-16.01,177.45,-0.02,-0.16,8.65,0.01,999.93,111.45,0,0
120,-35,12,01/01/0001 00:00:00,-0.07,9.82,0.08,2.36,-2.79,1.54,-1.98,-42.38,-17.46,177.63,0.02,-0.13,8.65,0.01,999.93,111.45,0,0
121,-35,12,01/01/0001 00:00:00,-0.15,9.98,-0.21,1.91,-2.75,1.47,-0.6,-41.88,-12.68,177.6,0.02,-0.17,8.81,0.01,999.91,111.62,0,0
119,-33,12,01/01/0001 00:00:00,-0.02,9.82,0.1,2.6,-2.7,1.52,2.25,-42.68,-14.8,177.57,0.02,-0.2,8.65,0.01,999.91,111.58,0,0
120,-44,12,01/01/0001 00:00:00,-0.02,9.81,0.1,2.51,-3.03,1.7,2.41,-42.04,-15.32,177.63,-0.04,-0.23,8.65,0.01,999.91,111.57,0,0
121,-37,12,01/01/0001 00:00:00,-0.01,9.83,0.09,2.13,-2.67,1.23,-0.74,-42.22,-12.88,177.42,-0.02,-0.11,8.66,0.01,999.92,111.48,0,0
121,-36,11,01/01/0001 00:00:00,-0.06,9.82,0.06,2.48,-2.68,1.39,-0.46,-42.3,-12.09,177.07,-0.01,-0.13,8.65,0.01,999.91,111.63,0,0
