MsgLength,RSSI,SNR,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Heading,Pitch,Roll,Baro_AccZInertial,VerticalVelocity,Pressure,Altitude,Latitude,Longitude
MsgLength,RSSI,SNR,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Heading,Pitch,Roll,AccZInertial,VerticalVelocity,Pressure,Altitude,Latitude,Longitude
0,0,9.68,01/01/0001 00:00:00,3.06,-2.45,2.05,-19.83,-32.14,8.87,68.55,-1.29,-0.41,8.51,0.04,999.87,111.92,0,0,0,0,0
119,-43,12,11/07/2024 13:31:35,-0.09,9.65,0.15,2.47,-2.5,2.08,-18.97,-32.94,4.99,70.89,-1.2,-0.31,8.48,0.04,999.84,112.2,0,0
119,-55,12,11/07/2024 13:31:36,-0.06,9.64,0.24,2.97,-2.38,2.1,-18.04,-32.62,4.75,72.78,-1.15,-0.38,8.48,0.04,999.92,111.48,0,0
119,-43,12,11/07/2024 13:31:37,-0.08,9.6,0.17,2.85,-2.31,1.98,-16.11,-32.59,8.11,74.24,-1.09,-0.48,8.43,0.04,999.88,111.84,0,0
119,-46,12,11/07/2024 13:31:38,-0.08,9.66,0.22,2.85,-2.55,2.2,-20.38,-31.65,8.71,75.84,-1.12,-0.47,8.5,0.04,999.86,112.03,0,0
118,-44,12,11/07/2024 13:31:39,0.02,9.63,0.28,2.77,-2.5,2.01,-18.74,-32.93,4.93,77.21,-1.06,-0.42,8.47,0.04,999.83,112.3,0,0
119,-43,12,11/07/2024 13:31:40,-0.05,9.63,0.29,2.92,-2.48,2.12,-16.27,-32.39,7.09,78.06,-0.95,-0.47,8.46,0.04,999.91,111.58,0,0
119,-43,12,11/07/2024 13:31:41,-0.11,9.51,0.29,3.31,-2.61,2.03,-20.55,-31.74,7.26,78.8,-0.98,-0.49,8.35,0.04,999.94,111.33,0,0
119,-43,12,11/07/2024 13:31:42,-0.07,9.68,0.2,2.94,-2.41,1.96,-16.77,-32.2,6.07,79.53,-0.97,-0.43,8.52,0.04,999.89,111.78,0,0
119,-42,12,11/07/2024 13:31:43,-0.09,9.68,0.24,2.61,-2.4,1.92,-18.09,-31.92,8.2,79.88,-0.91,-0.37,8.51,0.04,999.87,111.95,0,0
119,-44,12,11/07/2024 13:31:44,-0.11,9.7,0.22,2.96,-2.31,2,-19.07,-32.02,7.9,79.97,-0.89,-0.45,8.53,0.04,999.92,111.51,0,0
119,-44,12,11/07/2024 13:31:45,-0.04,9.72,0.21,2.89,-2.48,2.01,-19.08,-31.88,9.11,79.89,-0.92,-0.5,8.55,0.04,999.89,111.77,0,0
119,-44,12,11/07/2024 13:31:46,-0.02,9.71,0.2,3.1,-2.47,2.08,-17.36,-32.94,4.98,79.62,-0.96,-0.36,8.55,0.04,999.79,112.58,0,0
119,-45,12,11/07/2024 13:31:47,-0.07,9.68,0.16,2.94,-2.27,1.92,-16.87,-33.48,5.38,79.23,-0.94,-0.44,8.52,0.04,999.86,112.03,0,0
120,-44,12,11/07/2024 13:31:48,-0.06,9.68,0.2,3.03,-2.55,2.07,-19.52,-32.55,10.79,78.62,-0.94,-0.45,8.51,0.04,999.86,112.04,0,0
119,-44,12,11/07/2024 13:31:49,-0.03,9.7,0.19,3.17,-2.57,1.94,-19.96,-32.95,6.14,77.97,-0.98,-0.32,8.53,0.04,999.91,111.6,0,0
119,-44,12,11/07/2024 13:31:50,-0.04,9.64,0.29,2.82,-2.5,2.03,-14.21,-32.47,7.62,77.23,-1.04,-0.4,8.48,0.04,999.94,111.34,0,0
119,-43,12,11/07/2024 13:31:51,-0.01,9.66,0.16,3.17,-2.59,2.12,-15.82,-32.72,7.08,76.48,-0.99,-0.42,8.49,0.04,999.85,112.14,0,0
119,-44,12,11/07/2024 13:31:52,-0.05,9.57,0.19,2.96,-2.29,2.05,-16.54,-31.88,7.34,75.62,-1.03,-0.63,8.41,0.04,999.87,111.97,0,0
119,-44,12,11/07/2024 13:31:53,-0.08,9.65,0.27,2.89,-2.27,1.87,-17.93,-32.86,4.26,74.49,-1.11,-0.46,8.48,0.04,999.9,111.7,0,0
119,-43,12,11/07/2024 13:31:54,-0.01,9.66,0.24,3.2,-2.45,1.94,-18.45,-33.24,3.59,73.7,-1.18,-0.42,8.49,0.04,999.89,111.78,0,0
119,-43,12,11/07/2024 13:31:55,-0.06,9.59,0.24,2.99,-2.41,2.1,-22.65,-32.71,6.41,72.95,-1.23,-0.59,8.43,0.04,999.78,112.68,0,0
119,-45,12,11/07/2024 13:31:56,-0.11,9.68,0.24,2.89,-2.55,1.91,-22.76,-32.72,5.69,72.27,-1.19,-0.49,8.51,0.04,999.85,112.14,0,0
