MsgLength,RSSI,SNR,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Heading,Pitch,Roll,Baro_AccZInertial,VerticalVelocity,Pressure,Altitude,Latitude,Longitude
MsgLength,RSSI,SNR,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Heading,Pitch,Roll,AccZInertial,VerticalVelocity,Pressure,Altitude,Latitude,Longitude
0,-0.01,9.65,01/01/0001 00:00:00,2.83,-2.2,2.08,-21.22,-32.94,6.57,63.87,-1.3,-0.37,8.48,0.04,999.78,111.89,0,0,0,0,0
119,-43,12,01/01/0001 00:00:00,-0.06,9.66,0.22,3.15,-2.08,2.07,-19.26,-31.86,10.68,63.92,-1.37,-0.49,8.49,0.04,999.81,112.42,0,0
118,-42,12,01/01/0001 00:00:00,-0.05,9.67,0.24,3.06,-2.31,1.94,-17.37,-33.11,4.67,64.24,-1.46,-0.36,8.5,0.04,999.78,112.69,0,0
119,-43,12,01/01/0001 00:00:00,-0.1,9.65,0.16,3.27,-2.48,2.22,-19.14,-31.92,10.14,64.43,-1.39,-0.39,8.48,0.04,999.8,111.44,0,0
118,-42,12,01/01/0001 00:00:00,-0.11,9.68,0.29,2.9,-2.52,2.15,-16.21,-34.01,6.75,64.65,-1.44,-0.36,8.52,0.04,999.82,112.32,0,0
119,-45,13,01/01/0001 00:00:00,-0.04,9.68,0.21,3.18,-2.4,2.01,-19.02,-32.67,12.83,64.69,-1.3,-0.44,8.52,0.04,999.84,112.15,0,0
118,-41,12,01/01/0001 00:00:00,-0.01,9.58,0.17,3.1,-2.5,1.85,-19.77,-32.85,5.36,65.03,-1.44,-0.34,8.41,0.04,999.82,112.33,0,0
119,-41,12,01/01/0001 00:00:00,-0.03,9.71,0.25,2.9,-2.47,2.03,-19.88,-32.77,12.11,65.19,-1.38,-0.42,8.55,0.04,999.8,112.5,0,0
118,-41,12,01/01/0001 00:00:00,-0.19,9.55,0.27,2.97,-2.48,2.17,-18.47,-33.12,6.49,65.03,-1.33,-0.44,8.38,0.04,999.8,112.51,0,0
119,-42,13,01/01/0001 00:00:00,-0.02,9.58,0.24,3.17,-2.33,1.89,-20.42,-32.25,10.56,65.02,-1.33,-0.4,8.42,0.04,999.76,112.87,0,0
118,-41,12,01/01/0001 00:00:00,-0.04,9.71,0.31,3.1,-2.62,2.07,-18.33,-32.61,5.84,64.83,-1.3,-0.51,8.55,0.04,999.77,112.79,0,0
120,-41,12,11/07/2024 13:33:10,-0.04,9.65,0.21,2.87,-2.45,2.13,-19.32,-31.91,10.86,64.81,-1.31,-0.44,8.48,0.04,999.78,112.68,0,0
119,-42,11,11/07/2024 13:33:11,-0.06,9.62,0.25,3.05,-2.48,2.03,-17.73,-33.52,5.39,64.59,-1.32,-0.42,8.46,0.04,999.97,111.1,0,0
