MsgLength,RSSI,SNR,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Heading,Pitch,Roll,Baro_AccZInertial,VerticalVelocity,Pressure,Altitude,Latitude,Longitude
119,-42,12,11/07/2024 13:33:12,-0.04,9.66,0.3,3.03,-2.59,2.03,-17.88,-33.08,4.25,64.14,-1.31,-0.33,8.5,0.04,999.82,112.36,0,0
119,-42,12,11/07/2024 13:33:14,-0.1,9.66,0.27,3.03,-2.26,2.19,-21.92,-31.44,7.64,64.06,-1.34,-0.41,8.49,0.04,999.8,112.51,0,0
120,-42,12,11/07/2024 13:33:15,-0.07,9.67,0.27,2.94,-2.5,2.08,-17.66,-31.95,11.63,63.91,-1.31,-0.43,8.5,0.04,999.78,112.7,0,0
119,-41,12,11/07/2024 13:33:16,-0.09,9.63,0.27,2.99,-2.48,1.85,-18.91,-32.5,6.63,63.71,-1.36,-0.44,8.47,0.04,999.84,112.17,0,0
120,-42,13,11/07/2024 13:33:17,-0.03,9.68,0.25,2.96,-2.48,2,-15.14,-32.9,22.45,63.54,-1.31,-0.41,8.51,0.04,999.82,112.35,0,0
120,-42,12,11/07/2024 13:33:18,-0.08,9.62,0.33,2.9,-2.82,2.03,-19.79,-32.46,10.13,63.48,-1.31,-0.49,8.46,0.04,999.77,112.8,0,0
119,-42,12,11/07/2024 13:33:19,-0.09,9.58,0.19,2.71,-2.54,2.15,-18.75,-33.09,5.77,63.46,-1.38,-0.4,8.42,0.04,999.86,112.01,0,0
120,-42,13,11/07/2024 13:33:20,-0.06,9.7,0.25,2.96,-2.45,2.12,-19.72,-32.11,10.2,63.63,-1.39,-0.39,8.53,0.04,999.8,112.53,0,0
119,-43,13,11/07/2024 13:33:21,-0.04,9.62,0.18,3.05,-2.36,1.82,-17.97,-32.57,4.21,63.66,-1.34,-0.36,8.46,0.04,999.82,112.35,0,0
119,-42,12,11/07/2024 13:33:22,-0.09,9.7,0.29,3.06,-2.66,2.2,-17.5,-32.99,8.35,63.71,-1.38,-0.33,8.53,0.04,999.9,111.64,0,0
118,-42,12,11/07/2024 13:33:23,0,9.57,0.11,3.01,-2.83,2.03,-18.5,-31.86,8.99,63.65,-1.31,-0.33,8.41,0.04,999.84,112.19,0,0
119,-40,12,11/07/2024 13:33:24,-0.08,9.63,0.22,3.2,-2.62,2.03,-22.09,-33.38,6.09,63.65,-1.4,-0.35,8.46,0.04,999.77,112.79,0,0
119,-41,12,11/07/2024 13:33:25,-0.04,9.55,0.23,2.97,-2.75,2.22,-18.45,-32.02,9.47,63.98,-1.47,-0.39,8.39,0.04,999.75,112.97,0,0
119,-41,12,11/07/2024 13:33:26,-0.11,9.65,0.27,2.5,-2.54,1.98,-20.15,-33.54,6.07,64.38,-1.48,-0.36,8.48,0.04,999.69,113.42,0,0
119,-41,12,11/07/2024 13:33:27,-0.14,9.63,0.21,2.97,-2.47,2.03,-19.92,-32.95,9.16,64.7,-1.39,-0.39,8.47,0.04,999.82,112.36,0,0
120,-40,12,11/07/2024 13:33:28,-0.06,9.58,0.21,2.8,-2.29,2.13,-20.09,-32.71,10.13,64.9,-1.3,-0.4,8.41,0.04,999.84,112.19,0,0
119,-41,12,11/07/2024 13:33:29,-0.1,9.67,0.34,2.82,-2.38,2.08,-20.64,-32.42,7.97,65.1,-1.34,-0.4,8.5,0.04,999.9,112.72,0,0
119,-41,12,11/07/2024 13:33:30,-0.05,9.72,0.3,3.15,-2.57,1.94,-16.27,-32.3,8.54,65.12,-1.32,-0.43,8.55,0.04,999.87,111.9,0,0
119,-40,12,11/07/2024 13:33:31,-0.02,9.65,0.29,2.83,-2.24,2.08,-21.72,-32.29,8.28,65.29,-1.36,-0.36,8.48,0.04,999.76,112.88,0,0
119,-41,12,11/07/2024 13:33:32,-0.11,9.6,0.24,2.97,-2.45,2.12,-19.44,-32.47,8.92,65.14,-1.29,-0.33,8.43,0.04,999.8,112.54,0,0
120,-42,12,11/07/2024 13:33:33,-0.11,9.65,0.17,2.77,-2.48,2.07,-19.32,-32.19,17.13,65.29,-1.31,-0.38,8.48,0.04,999.86,112.01,0,0
119,-40,12,11/07/2024 13:33:34,-0.05,9.65,0.16,2.85,-2.4,2,-16.22,-32.68,6.66,65.24,-1.28,-0.38,8.48,0.04,999.77,112.8,0,0
119,-41,13,11/07/2024 13:33:35,-0.04,9.65,0.26,3.08,-2.43,2.03,-15.13,-32.61,8.04,65.31,-1.37,-0.39,8.48,0.04,999.85,112.11,0,0
119,-42,12,11/07/2024 13:33:36,-0.14,9.67,0.22,2.94,-2.59,2.03,-20.05,-31.74,9.42,65.29,-1.36,-0.44,8.5,0.04,999.84,112.17,0,0
119,-41,13,11/07/2024 13:33:37,-0.05,9.69,0.23,3.24,-2.71,2.01,-18.13,-33.03,7.45,65.25,-1.32,-0.46,8.53,0.04,999.82,112.37,0,0
119,-40,13,11/07/2024 13:33:38,-0.11,9.66,0.15,2.99,-2.31,2,-17.51,-32.3,5.17,65.2,-1.26,-0.4,8.5,0.04,999.86,112.01,0,0
118,-40,13,11/07/2024 13:33:39,0.02,9.74,0.25,2.83,-2.22,2,-22.11,-32.96,9.9,65.12,-1.32,-0.38,8.58,0.04,999.76,112.9,0,0
120,-40,12,11/07/2024 13:33:40,-0.04,9.71,0.23,2.66,-2.41,2,-18.25,-31.81,13.81,65,-1.32,-0.4,8.55,0.04,999.77,112.74,0,0
118,-40,13,11/07/2024 13:33:41,0.02,9.6,0.24,2.9,-2.36,2,-18.98,-32.39,9.46,65.05,-1.33,-0.37,8.44,0.04,999.83,112.29,0,0
120,-39,12,11/07/2024 13:33:42,-0.03,9.62,0.27,2.47,-2.36,2.01,-19.91,-32.35,10.26,65.09,-1.3,-0.36,8.46,0.04,999.78,112.72,0,0
119,-40,13,11/07/2024 13:33:43,-0.1,9.64,0.16,3.24,-2.38,2.12,-18.1,-32.92,4.32,65.13,-1.32,-0.36,8.48,0.04,999.8,112.55,0,0
119,-40,12,11/07/2024 13:33:44,-0.06,9.6,0.22,2.9,-2.35,2.12,-20.92,-32.33,7.49,65.32,-1.39,-0.36,8.43,0.04,999.78,112.72,0,0
119,-40,13,11/07/2024 13:33:45,-0.08,9.58,0.24,2.89,-2.47,2,-21.84,-32.5,6.71,65.47,-1.36,-0.39,8.42,0.04,999.77,112.74,0,0
119,-40,13,11/07/2024 13:33:46,-0.04,9.66,0.17,2.97,-2.54,1.91,-22.12,-32.5,6.95,65.52,-1.33,-0.5,8.5,0.04,999.78,112.65,0,0
119,-41,12,11/07/2024 13:33:47,-0.12,9.64,0.17,3.27,-2.4,2,-18.11,-33.16,3.95,65.65,-1.3,-0.39,8.48,0.04,999.82,112.38,0,0
119,-43,12,11/07/2024 13:33:48,-0.05,9.71,0.19,2.9,-2.4,2.07,-17.58,-32.91,3.89,65.77,-1.34,-0.44,8.54,0.04,999.73,113.1,0,0
119,-40,12,11/07/2024 13:33:49,-0.06,9.64,0.18,2.87,-2.43,1.98,-21.2,-33.54,8.19,65.92,-1.3,-0.37,8.48,0.04,999.82,112.38,0,0
118,-41,12,11/07/2024 13:33:50,0.04,9.7,0.19,3.1,-2.52,2.07,-16.61,-32.67,5.22,65.99,-1.29,-0.39,8.53,0.04,999.84,112.21,0,0
119,-42,12,11/07/2024 13:33:51,-0.03,9.61,0.24,2.87,-2.48,2.01,-20.46,-32.75,5.73,66.17,-1.33,-0.37,8.45,0.04,999.84,112.21,0,0
119,-43,13,11/07/2024 13:33:52,-0.04,9.64,0.22,2.92,-2.55,2.13,-15.42,-32.83,6.59,66.1,-1.32,-0.37,8.48,0.04,999.78,112.65,0,0
119,-40,12,11/07/2024 13:33:53,-0.09,9.63,0.23,2.99,-2.66,1.96,-15.14,-32.66,8.88,66.12,-1.33,-0.37,8.46,0.04,999.76,112.83,0,0
119,-40,12,11/07/2024 13:33:54,-0.06,9.76,0.29,3.39,-2.5,1.89,-19.39,-32.4,9.77,66.15,-1.35,-0.38,8.59,0.04,999.82,112.38,0,0
120,-40,12,11/07/2024 13:33:55,-0.1,9.65,0.15,3.01,-2.45,1.98,-19.7,-32.27,13.81,66.18,-1.31,-0.38,8.48,0.04,999.82,112.38,0,0
119,-40,12,11/07/2024 13:33:56,-0.12,9.64,0.21,2.97,-2.47,2.15,-19.61,-32.18,9.77,66.23,-1.34,-0.4,8.48,0.04,999.85,112.11,0,0
119,-40,12,11/07/2024 13:33:57,-0.04,9.64,0.23,3.2,-2.48,2.03,-14.76,-32.18,6.24,66.3,-1.33,-0.38,8.48,0.04,999.81,112.4,0,0
119,-41,13,11/07/2024 13:33:58,-0.12,9.55,0.23,3.13,-2.36,2,-15.56,-32.1,6.07,66.36,-1.33,-0.45,8.38,0.04,999.78,112.67,0,0
